Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,761,40.0,32.0,2020-01-25 17:00:00
China,Guangdong,104.195397,35.86166,78,0,2.0,2020-01-25 17:00:00
China,Zhejiang,104.195397,35.86166,62,0,1.0,2020-01-25 17:00:00
China,Chongqing,104.195397,35.86166,57,0,0,2020-01-25 17:00:00
China,Hunan,104.195397,35.86166,43,0,0,2020-01-25 17:00:00
China,Beijing,104.195397,35.86166,41,0,2.0,2020-01-25 17:00:00
China,Anhui,104.195397,35.86166,39,0,0,2020-01-25 17:00:00
China,Shanghai,104.195397,35.86166,33,0,1.0,2020-01-25 17:00:00
China,Henan,104.195397,35.86166,32,0,0,2020-01-25 17:00:00
China,Sichuan,104.195397,35.86166,28,0,0,2020-01-25 17:00:00
China,Shandong,104.195397,35.86166,27,0,0,2020-01-25 17:00:00
China,Guangxi,104.195397,35.86166,23,0,0,2020-01-25 17:00:00
China,Hainan,104.195397,35.86166,19,0,0,2020-01-25 17:00:00
China,Jiangxi,104.195397,35.86166,18,0,0,2020-01-25 17:00:00
China,Fujian,104.195397,35.86166,18,0,0,2020-01-25 17:00:00
China,Jiangsu,104.195397,35.86166,18,0,1.0,2020-01-25 17:00:00
China,Liaoning,104.195397,35.86166,17,0,0,2020-01-25 17:00:00
China,Shaanxi,104.195397,35.86166,15,0,0,2020-01-25 17:00:00
China,Yunnan,104.195397,35.86166,11,0,0,2020-01-25 17:00:00
China,Tianjin,104.195397,35.86166,10,0,0,2020-01-25 17:00:00
China,Heilongjiang,104.195397,35.86166,9,1.0,0,2020-01-25 17:00:00
China,Hebei,104.195397,35.86166,8,1.0,0,2020-01-25 17:00:00
China,Inner Mongolia,104.195397,35.86166,7,0,0,2020-01-25 17:00:00
China,Shanxi,104.195397,35.86166,6,0,0,2020-01-25 17:00:00
China,Hong Kong,104.195397,35.86166,5,0,0,2020-01-25 17:00:00
China,Guizhou,104.195397,35.86166,4,0,0,2020-01-25 17:00:00
China,Jilin,104.195397,35.86166,4,0,0,2020-01-25 17:00:00
China,Gansu,104.195397,35.86166,4,0,0,2020-01-25 17:00:00
China,Ningxia,104.195397,35.86166,3,0,0,2020-01-25 17:00:00
China,Taiwan,104.195397,35.86166,3,0,0,2020-01-25 17:00:00
China,Xinjiang,104.195397,35.86166,3,0,0,2020-01-25 17:00:00
China,Macau,104.195397,35.86166,2,0,0,2020-01-25 17:00:00
China,Qinghai,104.195397,35.86166,1,0,0,2020-01-25 17:00:00
Japan,Japan,138.252924,36.204824,2,0,0,2020-01-25 17:00:00
Thailand,Thailand,100.992541,15.870032,7,0,0,2020-01-25 17:00:00
South Korea,South Korea,-54.385628,-76.697372,2,0,0,2020-01-25 17:00:00
Singapore,Singapore,103.819836,1.352083,3,0,0,2020-01-25 17:00:00
Vietnam,Vietnam,108.277199,14.058324,2,0,0,2020-01-25 17:00:00
France,France,2.213749,46.227638,3,0,0,2020-01-25 17:00:00
Australia,Australia,133.775136,-25.274398,4,0,0,2020-01-25 17:00:00
Nepal,Nepal,84.124008,28.394857,1,0,0,2020-01-25 17:00:00
Malaysia,Malaysia,101.975766,4.210484,3,0,0,2020-01-25 17:00:00
