Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Anhui,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Beijing,104.195397,35.86166,14.0,0,0,2020-01-22 17:00:00
China,Chongqing,104.195397,35.86166,6.0,0,0,2020-01-22 17:00:00
China,Fujian,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Gansu,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Guangdong,104.195397,35.86166,26.0,0,0,2020-01-22 17:00:00
China,Guangxi,104.195397,35.86166,2.0,0,0,2020-01-22 17:00:00
China,Guizhou,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Hainan,104.195397,35.86166,4.0,0,0,2020-01-22 17:00:00
China,Hebei,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Heilongjiang,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Henan,104.195397,35.86166,5.0,0,0,2020-01-22 17:00:00
China,Hong Kong,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Hubei,104.195397,35.86166,444.0,17.0,28.0,2020-01-22 17:00:00
China,Hunan,104.195397,35.86166,4.0,0,0,2020-01-22 17:00:00
China,Inner Mongolia,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Jiangsu,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Jiangxi,104.195397,35.86166,2.0,0,0,2020-01-22 17:00:00
China,Jilin,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Liaoning,104.195397,35.86166,2.0,0,0,2020-01-22 17:00:00
China,Macau,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Ningxia,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Qinghai,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Shaanxi,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Shandong,104.195397,35.86166,2.0,0,0,2020-01-22 17:00:00
China,Shanghai,104.195397,35.86166,9.0,0,0,2020-01-22 17:00:00
China,Shanxi,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Sichuan,104.195397,35.86166,5.0,0,0,2020-01-22 17:00:00
China,Taiwan,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Tianjin,104.195397,35.86166,4.0,0,0,2020-01-22 17:00:00
China,Tibet,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Xinjiang,104.195397,35.86166,0,0,0,2020-01-22 17:00:00
China,Yunnan,104.195397,35.86166,1.0,0,0,2020-01-22 17:00:00
China,Zhejiang,104.195397,35.86166,10.0,0,0,2020-01-22 17:00:00
Japan,Japan,138.252924,36.204824,2.0,0,0,2020-01-22 17:00:00
Thailand,Thailand,100.992541,15.870032,2.0,0,0,2020-01-22 17:00:00
South Korea,South Korea,-54.385628,-76.697372,1.0,0,0,2020-01-22 17:00:00
